constraint_id,segment_id/occupancy_limit,terminal,front_signal_segment_id,front_signal_head_node_id,min_length,max_length
dl_0,1,,,,,
dl_0,31,Gowrie_exit,31,26,0.44,0
dl_0,35,Wyreema_exit,35,28,0.44,0
dl_1,1,,,,,
dl_1,188,Gowrie_exit,188,147,0.44,0
dl_1,35,Wyreema_exit,35,28,0.44,0
dl_2,2,,,,,
dl_2,24,Wyreema_exit,24,20,0.44,0
dl_2,26,exit_to_Brisbane,26,20,0.44,0
dl_2,25,exit_to_Brisbane,25,20,0.44,0
dl_3,2,,,,,
dl_3,24,exit_to_Brisbane,24,19,0.44,0
dl_3,23,Wyreema_exit,23,19,0.44,0
dl_3,22,Wyreema_exit,22,19,0.44,0
dl_4,3,,,,,
dl_4,26,Wyreema_exit,26,21,0.44,0
dl_4,25,exit_to_Brisbane,25,20,0.44,0
dl_4,27,exit_to_Brisbane,27,21,0.44,0
dl_4,24,Wyreema_exit,24,20,0.44,0
dl_5,4,,,,,
dl_5,24,exit_to_Brisbane,24,19,0.44,0
dl_5,23,exit_to_Brisbane,23,17,0.44,0
dl_5,22,Wyreema_exit,22,19,0.44,0
dl_5,21,Wyreema_exit,22,19,0.44,0
dl_5,20,Wyreema_exit,20,17,0.44,0
dl_6,6,,,,,
dl_6,26,Wyreema_exit,26,21,0.44,0
dl_6,25,exit_to_Brisbane,25,20,0.44,0
dl_6,27,exit_to_Brisbane,27,21,0.44,0
dl_6,23,exit_to_Brisbane,23,17,0.44,0
dl_6,22,Wyreema_exit,22,19,0.44,0
dl_6,21,Wyreema_exit,22,19,0.44,0
dl_6,20,Wyreema_exit,20,17,0.44,0
dl_7,6,,,,,
dl_7,24,exit_to_Brisbane,24,19,0.44,0
dl_7,20,Wyreema_exit,20,17,0.44,0
dl_7,22,Wyreema_exit,22,19,0.44,0
dl_7,26,Wyreema_exit,26,21,0.44,0
dl_7,25,exit_to_Brisbane,25,20,0.44,0
dl_7,27,exit_to_Brisbane,27,21,0.44,0
dl_7,21,Wyreema_exit,22,19,0.44,0
dl_8,2,,,,,
dl_8,24,exit_to_Brisbane,24,19,0.44,0
dl_8,23,Gowrie_exit,23,19,0.44,0
dl_8,22,Wyreema_exit,22,19,0.44,0
dl_9,2,,,,,
dl_9,157,Gowrie_exit,157,119,0.44,0
dl_9,159,Wyreema_exit,159,119,0.44,0
dl_9,158,Wyreema_exit,158,119,0.44,0
dl_10,4,,,,,
dl_10,24,exit_to_Brisbane,24,19,0.44,0
dl_10,23,exit_to_Brisbane,23,17,0.44,0
dl_10,22,Wyreema_exit,22,19,0.44,0
dl_10,21,Wyreema_exit,22,19,0.44,0
dl_10,20,Gowrie_exit,20,17,0.44,0
dl_11,2,,,,,
dl_11,170,Wyreema_exit,170,131,0.44,0
dl_11,171,exit_to_Brisbane,171,131,0.44,0
dl_11,172,exit_to_Brisbane,172,131,0.44,0
dl_12,6,,,,,
dl_12,26,Wyreema_exit,26,21,0.44,0
dl_12,25,exit_to_Brisbane,25,20,0.44,0
dl_12,27,exit_to_Brisbane,27,21,0.44,0
dl_12,23,exit_to_Brisbane,23,17,0.44,0
dl_12,22,Wyreema_exit,22,19,0.44,0
dl_12,21,Wyreema_exit,22,19,0.44,0
dl_12,20,Gowrie_exit,20,17,0.44,0
dl_13,6,,,,,
dl_13,24,exit_to_Brisbane,24,19,0.44,0
dl_13,20,Gowrie_exit,20,17,0.44,0
dl_13,22,Wyreema_exit,22,19,0.44,0
dl_13,26,Wyreema_exit,26,21,0.44,0
dl_13,25,exit_to_Brisbane,25,20,0.44,0
dl_13,27,exit_to_Brisbane,27,21,0.44,0
dl_13,21,Wyreema_exit,22,19,0.44,0
dl_14,2,,,,,
dl_14,170,Wyreema_exit,170,131,0.44,0
dl_14,171,exit_to_Brisbane,171,131,0.44,0
dl_14,172,Gowrie_exit,172,131,0.44,0
dl_15,2,,,,,
dl_15,24,exit_to_Brisbane,24,19,0.44,0
dl_15,23,Gowrie_exit,23,19,0.44,0
dl_15,22,Gowrie_exit,22,19,0.44,0
dl_16,3,,,,,
dl_16,27,exit_to_Brisbane,27,21,0.44,0
dl_16,26,Wyreema_exit,26,21,0.44,0
dl_16,25,exit_to_Brisbane,25,20,0.44,0
dl_16,24,Gowrie_exit,24,20,0.44,0
dl_17,5,,,,,
dl_17,188,exit_to_Brisbane,30,24,0.44,0
dl_17,28,Wyreema_exit,28,23,0.44,0
dl_17,171,exit_to_Brisbane,171,131,0.44,0
dl_17,172,Gowrie_exit,172,131,0.44,0
dl_17,191,Wyreema_exit,191,146,0.44,0
dl_17,30,exit_to_Brisbane,30,24,0.44,0
dl_18,4,,,,,
dl_18,24,exit_to_Brisbane,24,19,0.44,0
dl_18,23,exit_to_Brisbane,23,17,0.44,0
dl_18,22,Gowrie_exit,22,19,0.44,0
dl_18,21,Gowrie_exit,22,19,0.44,0
dl_18,20,Gowrie_exit,20,17,0.44,0
dl_19,6,,,,,
dl_19,27,exit_to_Brisbane,27,21,0.44,0
dl_19,26,Wyreema_exit,26,21,0.44,0
dl_19,25,exit_to_Brisbane,25,20,0.44,0
dl_19,23,exit_to_Brisbane,23,17,0.44,0
dl_19,22,Gowrie_exit,22,19,0.44,0
dl_19,21,Gowrie_exit,22,19,0.44,0
dl_19,20,Gowrie_exit,20,17,0.44,0
dl_20,6,,,,,
dl_20,24,exit_to_Brisbane,24,19,0.44,0
dl_20,20,Gowrie_exit,20,17,0.44,0
dl_20,22,Gowrie_exit,22,19,0.44,0
dl_20,27,exit_to_Brisbane,27,21,0.44,0
dl_20,26,Wyreema_exit,26,21,0.44,0
dl_20,25,exit_to_Brisbane,25,20,0.44,0
dl_20,21,Gowrie_exit,22,19,0.44,0
dl_21,7,,,,,
dl_21,26,Wyreema_exit,26,21,0.44,0
dl_21,25,exit_to_Brisbane,25,20,0.44,0
dl_21,24,Gowrie_exit,24,20,0.44,0
dl_21,188,exit_to_Brisbane,30,24,0.44,0
dl_21,171,exit_to_Brisbane,171,131,0.44,0
dl_21,172,Gowrie_exit,172,131,0.44,0
dl_21,191,Wyreema_exit,191,146,0.44,0
dl_21,30,exit_to_Brisbane,30,24,0.44,0
dl_22,10,,,,,
dl_22,26,Wyreema_exit,26,21,0.44,0
dl_22,25,exit_to_Brisbane,25,20,0.44,0
dl_22,23,exit_to_Brisbane,23,17,0.44,0
dl_22,22,Gowrie_exit,22,19,0.44,0
dl_22,21,Gowrie_exit,22,19,0.44,0
dl_22,20,Gowrie_exit,20,17,0.44,0
dl_22,188,exit_to_Brisbane,30,24,0.44,0
dl_22,171,exit_to_Brisbane,171,131,0.44,0
dl_22,172,Gowrie_exit,172,131,0.44,0
dl_22,191,Wyreema_exit,191,146,0.44,0
dl_22,30,exit_to_Brisbane,30,24,0.44,0
dl_23,10,,,,,
dl_23,24,exit_to_Brisbane,24,19,0.44,0
dl_23,20,Gowrie_exit,20,17,0.44,0
dl_23,22,Gowrie_exit,22,19,0.44,0
dl_23,26,Wyreema_exit,26,21,0.44,0
dl_23,25,exit_to_Brisbane,25,20,0.44,0
dl_23,21,Gowrie_exit,22,19,0.44,0
dl_23,188,exit_to_Brisbane,30,24,0.44,0
dl_23,171,exit_to_Brisbane,171,131,0.44,0
dl_23,172,Gowrie_exit,172,131,0.44,0
dl_23,191,Wyreema_exit,191,146,0.44,0
dl_23,30,exit_to_Brisbane,30,24,0.44,0
dl_24,2,,,,,
dl_24,26,Wyreema_exit,26,21,0.44,0
dl_24,25,Gowrie_exit,25,21,0.44,0
dl_24,27,exit_to_Brisbane,27,21,0.44,0
dl_25,7,,,,,
dl_25,27,exit_to_Brisbane,27,21,0.44,0
dl_25,26,Wyreema_exit,26,21,0.44,0
dl_25,24,Gowrie_exit,24,20,0.44,0
dl_25,188,exit_to_Brisbane,30,24,0.44,0
dl_25,171,exit_to_Brisbane,171,131,0.44,0
dl_25,172,Gowrie_exit,172,131,0.44,0
dl_25,191,Wyreema_exit,191,146,0.44,0
dl_25,30,exit_to_Brisbane,30,24,0.44,0
dl_26,10,,,,,
