time,corridor_id,train,chainage,arc
0.308959,1,0,36.636246,(160-120)
0.314459,1,0,36.196246,(160-120)
0.336262,1,0,34.452016,(160-120)
0.336262,1,0,34.452016,(160-120)
0.392442,1,0,29.957571,(159-119)
0.397942,1,0,29.517571,(159-119)
0.402714,1,0,29.135816,(157-29)
0.408214,1,0,28.695816,(157-29)
0.464812,1,0,24.168026,(157-29)
0.464812,1,0,24.168026,(157-29)
0.506067,1,0,20.867603,(35-28)
0.511567,1,0,20.427603,(35-28)
0.514687,1,0,20.178026,(35-28)
0.542464,1,0,18.233581,(34-27)
0.542730,1,0,18.217624,(33-23)
0.549798,1,0,18.378457,(33-23)
0.550064,1,0,18.384509,(33-23)
0.550426,0,0,0.000000,(28-22)
0.550426,1,0,18.392755,(28-22)
0.557759,0,0,0.440000,(28-22)
0.579085,0,0,1.719565,(28-22)
0.589460,1,1,36.636246,(160-120)
0.594960,1,1,36.196246,(160-120)
0.603344,0,0,2.963231,(28-22)
0.606863,0,0,3.108454,(27-21)
0.616763,1,1,34.452016,(160-120)
0.616763,1,1,34.452016,(160-120)
0.617863,0,0,3.548454,(27-21)
0.632372,0,0,4.128800,(26-20)
0.643372,0,0,4.568800,(26-20)
0.655180,0,0,5.041119,(24-19)
0.666180,0,0,5.481119,(24-19)
0.672944,1,1,29.957571,(159-119)
0.678444,1,1,29.517571,(159-119)
0.683215,1,1,29.135816,(157-29)
0.688715,1,1,28.695816,(157-29)
0.745313,1,1,24.168026,(157-29)
0.745313,1,1,24.168026,(157-29)
0.786568,1,1,20.867603,(35-28)
0.792068,1,1,20.427603,(35-28)
0.795188,1,1,20.178026,(35-28)
0.822966,1,1,18.233581,(34-27)
0.823232,1,1,18.217624,(33-23)
0.830299,1,1,18.378457,(33-23)
0.830565,1,1,18.384509,(33-23)
0.830927,0,1,0.000000,(28-22)
0.830927,1,1,18.392755,(28-22)
0.838261,0,1,0.440000,(28-22)
0.842238,1,2,36.636246,(160-120)
0.842458,0,0,12.532242,(24-19)
0.842458,0,0,12.532242,(24-19)
0.847738,1,2,36.196246,(160-120)
0.859587,0,1,1.719565,(28-22)
0.869541,1,2,34.452016,(160-120)
0.869541,1,2,34.452016,(160-120)
0.871486,0,0,13.693353,(23-17)
0.882486,0,0,14.133353,(23-17)
0.883845,0,1,2.963231,(28-22)
0.887364,0,1,3.108454,(27-21)
0.892040,0,1,3.295467,(27-21)
0.892827,0,0,14.546996,(20-16)
0.898772,0,1,3.548454,(27-21)
0.903827,0,0,14.986996,(20-16)
0.904135,1,3,0.000000,(176-135)
0.909635,1,3,0.440000,(176-135)
0.919818,0,1,4.128800,(25-20)
0.925721,1,2,29.957571,(159-119)
0.931221,1,2,29.517571,(159-119)
0.935993,1,2,29.135816,(157-29)
0.941493,1,2,28.695816,(157-29)
0.941818,0,1,4.563426,(25-20)
0.949609,0,1,4.717345,(25-20)
0.949609,0,1,4.717345,(25-20)
0.965998,0,1,5.041119,(24-19)
0.984812,0,1,5.481119,(24-19)
0.998091,1,2,24.168026,(157-29)
0.998091,1,2,24.168026,(157-29)
1.001021,1,3,7.750847,(176-135)
1.005118,1,3,8.078624,(176-135)
1.009868,0,0,19.228647,(20-16)
1.021553,0,1,6.707786,(24-19)
1.038896,0,0,20.389758,(19-15)
1.039346,1,2,20.867603,(35-28)
1.039691,1,3,10.414174,(175-133)
1.044846,1,2,20.427603,(35-28)
1.046382,1,2,20.304692,(35-28)
1.047608,1,3,10.827883,(173-132)
1.047966,1,2,20.178026,(35-28)
1.048142,1,3,10.854174,(173-132)
1.049896,0,0,20.818076,(19-15)
1.057181,1,3,11.267883,(173-132)
1.060917,0,0,21.247212,(17-14)
1.071917,0,0,21.687212,(17-14)
1.075743,1,2,18.233581,(34-27)
1.076009,1,2,18.217624,(32-26)
1.077078,1,2,18.153497,(31-25)
1.081396,1,2,17.894407,(189-147)
1.081396,1,2,17.894407,(189-147)
1.081732,1,2,17.874269,(188-146)
1.081732,1,2,17.874269,(188-146)
1.083077,1,2,17.793581,(188-146)
1.083077,1,2,17.793581,(188-146)
1.083343,1,2,17.777624,(188-146)
1.083343,1,2,17.777624,(188-146)
1.084411,1,2,17.713497,(188-146)
1.084411,1,2,17.713497,(188-146)
1.088451,1,3,12.245291,(172-131)
1.088730,1,2,17.454407,(188-146)
1.088730,1,2,17.454407,(188-146)
1.088882,1,2,17.445248,(187-130)
1.088882,1,2,17.445248,(187-130)
1.088882,1,2,17.445248,(187-130)
1.089065,1,2,17.434269,(187-130)
